q_month,q_total_count,q_with_vote_28days,vote_count,vote_rate,avg_votes
2010-01-01,45154,26451,67181,0.58579527838065293,2.5398283618766775
2010-02-01,45005,27493,73070,0.61088767914676145,2.65776743170989
2010-03-01,52475,30026,75131,0.57219628394473554,2.502198094984347
2010-04-01,50273,27957,68803,0.556103673940286,2.4610294380656006
2010-05-01,52233,28630,70067,0.548120919725078,2.4473279776458261
2010-06-01,56030,29892,71614,0.53349991076209169,2.3957580623578214
2010-07-01,61134,31941,73954,0.5224752183727549,2.3153313922544694
2010-08-01,63957,33588,78548,0.5251653454664853,2.338573299988091
2010-09-01,61503,31681,71794,0.51511308391460575,2.2661532148606418
2010-10-01,64092,32347,71276,0.50469637396242906,2.2034810028750735
2010-11-01,70011,35025,77329,0.50027852765993919,2.2078229835831551
2010-12-01,69917,33679,73222,0.48169972967947711,2.1741144333264053
2011-01-01,80362,39047,85123,0.48588885294044448,2.1800138294875406
2011-02-01,83401,39316,84589,0.47140921571683791,2.1515159222708311
2011-03-01,101577,45553,94931,0.44845782017582719,2.083968125041161
2011-04-01,96184,43317,91526,0.45035556849372038,2.1129348754530555
2011-05-01,101021,51275,118075,0.5075677334415617,2.3027791321306679
2011-06-01,99864,51111,117649,0.51180605623648157,2.3018332648549236
2011-07-01,101454,49297,107812,0.485904942141266,2.186989066271781
2011-08-01,108039,52164,117331,0.48282564629439367,2.2492715282570357
2011-09-01,102968,48845,105083,0.47437067826897678,2.1513563312519195
2011-10-01,102293,48019,102943,0.46942606043424279,2.1437972469230928
2011-11-01,109881,53573,115297,0.48755471828614594,2.1521475370055811
2011-12-01,104625,50576,108456,0.48340262843488652,2.1444163239481178
2012-01-01,117220,56476,120734,0.48179491554342263,2.1377930448332036
2012-02-01,125054,57268,116877,0.4579461672557455,2.0408779772298664
2012-03-01,135055,59406,117781,0.43986524008737182,1.9826448506884826
2012-04-01,130166,58732,119138,0.45120845689350519,2.028502349656065
2012-05-01,135766,60611,121729,0.44643725233121695,2.0083648182673111
2012-06-01,131996,58403,120484,0.44246037758719964,2.0629762169751555
2012-07-01,143332,61034,122711,0.42582256579130967,2.0105351115771537
2012-08-01,142635,61589,123729,0.43179444035475162,2.0089464027667279
2012-09-01,133405,60961,122302,0.45696188298789403,2.0062334935450532
2012-10-01,151315,73554,146976,0.48609853616627563,1.9982054001142018
2012-11-01,149468,74734,147705,0.5,1.9764096662830839
2012-12-01,136528,68413,142560,0.5010913512246572,2.08381447970415
2013-01-01,159049,71190,142223,0.4475979100780263,1.9977946340778199
2013-02-01,154560,65243,124304,0.42212085921325054,1.9052465398586822
2013-03-01,175327,74983,148325,0.42767514415919966,1.9781150394089326
2013-04-01,173147,71940,138857,0.41548510802959338,1.9301779260494858
2013-05-01,168359,68424,135568,0.4064172393516236,1.9812931135274172
2013-06-01,160210,64338,124811,0.40158541913738216,1.9399266374459885
2013-07-01,178942,69894,131930,0.39059583552212451,1.8875726099522134
2013-08-01,172344,67997,127492,0.39454231072738244,1.87496507198847
2013-09-01,167574,64451,119160,0.38461217133922926,1.8488464104513507
2013-10-01,186525,68655,125473,0.36807398472054687,1.8275872114194158
2013-11-01,178557,65988,119119,0.36956266066298155,1.8051615445232467
2013-12-01,167435,64693,122057,0.38637680293845372,1.8867110815698762
2014-01-01,191296,70980,130018,0.37104800936768151,1.8317554240631164
2014-02-01,190308,68164,123830,0.35817727052987786,1.8166480840326271
2014-03-01,210202,73176,131105,0.34812228237600024,1.7916393353011917
