month,new_,new_repeat,existing_repeat,reactivated,retention_new,retention_existing
2010-01-01,19964,0,0,0,,
2010-02-01,13137,7574,0,0,0.379382889200561,
2010-03-01,13164,3665,4622,2359,0.27898302504376948,0.610245576973858
2010-04-01,12040,2924,5796,3162,0.22212093588574902,0.54442983280105206
2010-05-01,12031,2464,6202,4227,0.20465116279069767,0.521965998990069
2010-06-01,12309,2301,6617,5168,0.19125592220098081,0.51322423020243546
2010-07-01,12904,2464,7138,5783,0.20017873100983022,0.50674428510577874
2010-08-01,13260,2607,7763,6510,0.20203037817730937,0.504582385440364
2010-09-01,11975,2401,8135,6836,0.1810708898944193,0.48193127962085308
2010-10-01,12151,2218,8475,7389,0.18521920668058456,0.48785401795993555
2010-11-01,13406,2280,8992,8166,0.18763887745864538,0.4972901227740294
2010-12-01,13584,2445,9290,7963,0.18238102342234822,0.47792982817162261
2011-01-01,15465,2520,9802,9722,0.18551236749116609,0.49761397096151894
2011-02-01,16681,2967,10761,9926,0.1918525703200776,0.48816004354926512
2011-03-01,20422,3385,11995,11238,0.20292548408368802,0.50710239282996539
2011-04-01,19268,3620,12303,10442,0.17725981784350212,0.46220602599744531
2011-05-01,19660,3467,12592,12193,0.17993564459206976,0.47760288260952022
2011-06-01,19155,3385,13184,12104,0.172177009155646,0.4666572278068809
2011-07-01,20126,3463,13159,12467,0.18078830592534587,0.45893349143793816
2011-08-01,21129,3683,13689,13919,0.18299711815561959,0.47059025748564748
2011-09-01,19628,3606,13965,14001,0.17066590941360216,0.44629446166629383
2011-10-01,17646,3500,14077,14857,0.1783166904422254,0.4458697580134296
2011-11-01,18439,3917,15065,15885,0.22197665193244928,0.46448171671702532
2011-12-01,17549,3829,15309,15287,0.20765768208688107,0.43906846014856454
2012-01-01,19841,3690,15899,18508,0.21026839136133113,0.46184458968772696
2012-02-01,21529,4249,17324,19241,0.21415251247416964,0.45473396855395437
2012-03-01,23193,4686,18874,20276,0.2176599005991918,0.4624393590434655
2012-04-01,22501,4671,19224,19455,0.20139697322467986,0.438543662742951
2012-05-01,23013,4573,19110,21637,0.20323541175947735,0.4408304498269896
2012-06-01,22726,4387,19145,21498,0.19063138226219964,0.42244042365401591
2012-07-01,24961,4658,19309,23254,0.20496347795476547,0.42880302020874972
2012-08-01,24246,4894,19849,23754,0.19606586274588358,0.42034264416255479
2012-09-01,23870,4326,19566,23479,0.17842118287552586,0.4034476359362435
2012-10-01,28037,4528,20375,27053,0.189694176790951,0.4301154714909966
2012-11-01,28391,5316,21367,25839,0.18960659129008098,0.41125182847024405
2012-12-01,25043,4847,20287,24287,0.17072311648057484,0.38625718746430066
2013-01-01,28605,4459,20912,30750,0.17805374755420678,0.42313996074543209
2013-02-01,28333,4975,22347,28611,0.17392064324418807,0.39819318971507994
2013-03-01,33446,5455,23241,32151,0.19253167684325698,0.415514991150126
2013-04-01,32924,6161,24332,31198,0.18420737905878132,0.3998882442848456
2013-05-01,31825,5539,23892,31426,0.16823593731016886,0.38728501726345821
2013-06-01,30146,5170,22637,30964,0.16245090337784759,0.37197035673792661
2013-07-01,33108,5576,23166,34171,0.18496649638426324,0.39417399737966
2013-08-01,31306,5985,23923,32341,0.18077201884740848,0.3802552731549918
2013-09-01,31205,5192,23106,34101,0.16584680252986647,0.37118668572989122
2013-10-01,35300,5691,24730,37661,0.18237461945201089,0.39632045385342712
2013-11-01,34242,5962,25405,35182,0.16889518413597734,0.37315296260391878
2013-12-01,31538,5598,24012,33956,0.16348344138776941,0.36081684172564576
2014-01-01,35505,5416,24464,40294,0.17172934238062021,0.38485983072711827
2014-02-01,35243,6207,26474,38564,0.1748204478242501,0.37726223387579444
2014-03-01,38942,6499,28009,42029,0.18440541384104644,0.39313636044634709
2014-04-01,35552,6748,28234,39219,0.17328334446099328,0.36889347635784
2014-05-01,33024,5559,26153,39193,0.1563625112511251,0.35246155712187166
2014-06-01,31289,5008,23905,38179,0.15164728682170542,0.33714124532825612
2014-07-01,34781,5139,23543,41387,0.16424302470516794,0.35090621832707325
2014-08-01,31411,5488,23584,38228,0.1577872976625169,0.33658251152435459
2014-09-01,31304,4993,23170,42264,0.15895705326159626,0.34427934621099554
2014-10-01,34090,5019,24605,43358,0.16033094812164581,0.349368850014909
2014-11-01,33449,5470,24494,41117,0.16045761220299207,0.33561700145241291
2014-12-01,30672,4999,23092,39435,0.14945140362940595,0.3248688116374277
2015-01-01,32430,4631,22500,43837,0.15098461137193531,0.33320498770843821
2015-02-01,33328,5106,23769,44004,0.1574468085106383,0.33492560027054447
2015-03-01,38273,5880,25790,47642,0.17642822851656265,0.35387422988789635
2015-04-01,38058,6135,26568,46327,0.1602957698638727,0.3349808351825701
2015-05-01,36021,6038,26325,45664,0.15865258289978454,0.33310135391623436
2015-06-01,36513,5586,26038,46517,0.15507620554676438,0.33370499955143734
2015-07-01,37259,6062,26325,47461,0.1660230602799003,0.33689100472223288
2015-08-01,33665,5923,25877,44761,0.15896830296035858,0.3240782486724777
2015-09-01,33052,5096,25125,46369,0.15137383038764296,0.32816969475320334
2015-10-01,36307,5193,25823,47986,0.15711605954253902,0.33715889802846327
2015-11-01,34235,5743,25919,45595,0.15817886358002589,0.32808030176451231
2015-12-01,33153,5263,24550,44583,0.15373156126770848,0.31777055800768861
2016-01-01,35024,4895,24301,48445,0.14764877989925496,0.32664390558632184
2016-02-01,36262,5404,25765,49932,0.1542941982640475,0.33184786388634868
2016-03-01,38750,6084,27829,52630,0.1677789421432905,0.34314003526466996
2016-04-01,38192,6154,27979,50293,0.15881290322580646,0.32329593381324889
2016-05-01,36012,5881,26930,49809,0.15398512777545034,0.31897756615260703
2016-06-01,35692,5204,25866,49270,0.14450738642674665,0.3130718954248366
2016-07-01,34294,5348,24608,47406,0.14983749859912585,0.30629823251182475
2016-08-01,33745,5359,24700,50284,0.15626640228611419,0.31927819859879525
2016-09-01,32682,4744,24537,48600,0.14058379019113942,0.30540308427616591
2016-10-01,34595,4768,24252,49291,0.14589070436325807,0.31139815872934351
2016-11-01,34380,5018,24451,49567,0.14504986269692152,0.31222944413939291
2016-12-01,32017,4798,22997,46395,0.13955788248981965,0.2909686725036692
2017-01-01,34220,4480,23164,51958,0.13992566449073929,0.31222536730017525
2017-02-01,35193,4978,24292,50328,0.14547048509643484,0.30516821185397353
2017-03-01,41343,5628,25810,56440,0.15991816554428437,0.3242543782507098
2017-04-01,37188,5881,25439,48901,0.14224899015552814,0.28948087120781085
2017-05-01,37712,5367,24411,53660,0.14432074862858987,0.30429687986936088
2017-06-01,36482,5293,24313,50127,0.14035320322443784,0.29139001414223736
2017-07-01,36376,5438,23516,50620,0.1490598103174168,0.29493434337100072
2017-08-01,35243,5327,23535,51267,0.14644270947877722,0.295762434966195
2017-09-01,32397,4672,22357,48435,0.13256533212269103,0.27901259219508545
