q_interval,q_count
-1,2243553
0,817067
1,365860
2,250300
3,204621
4,177272
5,163159
6,157277
7,135847
8,104838
9,86955
10,80182
11,76082
12,76425
13,79518
14,73771
15,60069
16,51553
17,48492
18,47301
19,48822
20,51947
21,48936
22,40851
23,35757
24,33880
25,33567
26,35064
27,38023
28,36074
29,30793
30,27132
31,25640
32,25714
33,26950
34,29447
35,28103
36,23947
37,21386
38,20569
39,20434
40,22016
41,23832
42,23161
43,19668
44,17767
45,16959
46,16912
47,18596
48,19929
49,19398
50,16732
51,15278
52,14614
53,14728
54,15720
55,17293
56,16842
57,14468
58,13237
59,12621
60,12778
61,13664
62,14794
63,14563
64,12912
65,11646
66,11253
67,11417
68,12187
69,13261
70,13058
71,11419
72,10425
73,10053
74,9953
75,10897
76,11940
77,11522
78,10373
79,9493
80,9151
81,8949
82,9812
83,10745
84,10557
85,9191
86,8528
87,8330
88,8298
89,8939
90,9825
91,9533
92,8399
93,7900
94,7790
95,7614
96,8027
97,9161
98,8737
99,7833
100,7147
101,7076
102,7076
103,7521
104,8265
105,8132
106,7288
107,6650
108,6415
109,6419
110,7114
111,7636
112,7626
113,6615
114,5996
115,5983
116,5992
117,6291
118,7128
119,6945
120,6217
121,5711
122,5665
123,5677
124,6126
125,6549
126,6630
127,5957
128,5276
129,5183
130,5224
131,5622
132,6162
133,6092
134,5476
135,4959
136,4814
137,4850
138,5347
139,5834
140,5831
141,4923
142,4697
143,4494
144,4501
145,5025
146,5545
147,5281
148,4837
149,4297
150,4372
151,4263
152,4703
153,5135
154,5028
155,4431
156,4077
157,4090
158,4045
159,4420
160,4779
161,4703
162,4263
163,3931
164,3822
165,3961
166,4077
167,4449
168,4512
169,4005
170,3707
171,3579
172,3630
173,3939
174,4311
175,4280
176,3814
177,3475
178,3384
179,3461
180,3696
181,4243
182,4239
183,3685
184,3419
185,3429
186,3428
187,3648
188,3975
189,4056
190,3537
191,3232
192,3160
193,3249
194,3547
195,3813
196,3792
197,3433
198,3114
199,3016
200,3032
201,3352
202,3657
203,3612
204,3156
205,2930
206,2849
207,2912
208,3188
209,3442
210,3378
211,3097
212,2823
