a_interval,a_count
-1,1411360
0,4587491
1,744646
2,406351
3,283563
4,215118
5,178852
6,156394
7,124158
8,91463
9,73755
10,66958
11,62915
12,62135
13,62440
14,55771
15,44198
16,37871
17,36239
18,34641
19,35499
20,37303
21,34275
22,28129
23,24659
24,23526
25,23562
26,24463
27,26219
28,25055
29,20737
30,18230
31,17395
32,17579
33,18538
34,20043
35,19021
36,16102
37,14339
38,13981
39,13828
40,14759
41,16047
42,15471
43,13153
44,11658
45,11358
46,11451
47,12275
48,13498
49,13119
50,11177
51,10037
52,9935
53,9985
54,10635
55,11681
56,11271
57,9686
58,8616
59,8354
60,8668
61,9379
62,10123
63,9775
64,8678
65,7747
66,7565
67,7689
68,8130
69,9040
70,8911
71,7606
72,6941
73,6755
74,6801
75,7283
76,8191
77,7895
78,6892
79,6207
80,6001
81,6155
82,6728
83,7496
84,7222
85,6387
86,5728
87,5594
88,5649
89,5981
90,6699
91,6662
92,5913
93,5347
94,5098
95,5361
96,5552
97,6222
98,6014
99,5459
100,4899
101,4685
102,4800
103,5234
104,5676
105,5588
106,5047
107,4402
108,4318
109,4342
110,4889
111,5405
112,5200
113,4465
114,4104
115,4101
116,4166
117,4591
118,4881
119,4864
120,4370
121,3817
122,3833
123,3902
124,4236
125,4626
126,4434
127,3884
128,3545
129,3534
130,3715
131,3882
132,4416
133,4370
134,3753
135,3465
136,3306
137,3329
138,3685
139,4081
140,4004
141,3588
142,3248
143,3125
144,3256
145,3466
146,3846
147,3781
148,3364
149,3007
150,3047
151,3064
152,3209
153,3659
154,3513
155,3062
156,2823
157,2824
158,2853
159,3076
160,3195
161,3317
162,2897
163,2754
164,2727
165,2663
166,2988
167,3173
168,3281
169,2770
170,2591
171,2507
172,2590
173,2777
174,3132
175,3031
176,2672
177,2464
178,2380
179,2364
180,2661
181,2974
182,2920
183,2506
184,2268
185,2279
186,2314
187,2557
188,2833
189,2751
190,2472
191,2206
192,2231
193,2233
194,2337
195,2624
196,2596
197,2336
198,2179
199,2004
200,2094
201,2308
202,2565
203,2554
204,2184
205,1969
206,2020
207,2062
208,2143
209,2466
210,2370
211,2059
212,1891
213,1887
214,1893
215,2083
216,2303
217,2213
218,1936
219,1807
220,1802
221,1835
222,2067
223,2201
224,2202
225,2045
226,1684
227,1784
228,1790
229,1892
230,2113
231,2031
232,1807
233,1685
234,1661
235,1665
236,1861
237,1973
238,1913
239,1814
240,1646
241,1681
242,1677
243,1790
244,2030
245,1952
246,1788
247,1576
248,1507
249,1604
250,1655
251,1818
252,1931
253,1644
254,1536
255,1449
256,1479
257,1670
258,1759
259,1681
260,1516
261,1419
262,1418
263,1423
264,1531
265,1702
266,1663
267,1566
268,1434
269,1405
270,1414
271,1527
272,1679
273,1621
274,1463
275,1360
276,1319
277,1340
278,1400
279,1640
280,1563
281,1373
282,1216
