recency_,frequency_,population
28,1,33892
28,2,16024
28,3,9996
28,4,7185
28,5,5617
28,6,4469
28,7,3665
28,8,3041
28,9,2513
28,10,2082
28,11,24157
56,1,33356
56,2,14275
56,3,8882
56,4,6141
56,5,4549
56,6,3619
56,7,2868
56,8,2294
56,9,1872
56,10,1558
56,11,14281
84,1,34629
84,2,14143
84,3,8462
84,4,5742
84,5,4129
84,6,3308
84,7,2495
84,8,1991
84,9,1633
84,10,1384
84,11,10769
112,1,35166
112,2,13577
112,3,7911
112,4,5164
112,5,3723
112,6,2901
112,7,2173
112,8,1749
112,9,1407
112,10,1141
112,11,8713
140,1,30535
140,2,11603
140,3,6550
140,4,4412
140,5,3136
140,6,2380
140,7,1957
140,8,1457
140,9,1188
140,10,900
140,11,6522
168,1,26681
168,2,9838
168,3,5493
168,4,3812
168,5,2745
168,6,2061
168,7,1583
168,8,1136
168,9,916
168,10,762
168,11,5131
196,1,22779
196,2,8744
196,3,4924
196,4,3278
196,5,2412
196,6,1758
196,7,1407
196,8,1116
196,9,838
196,10,654
196,11,4519
224,1,22469
224,2,8503
224,3,4783
224,4,3167
224,5,2288
224,6,1707
224,7,1343
224,8,1013
224,9,761
224,10,635
224,11,3961
252,1,18270
252,2,6774
252,3,3731
252,4,2485
252,5,1768
252,6,1337
252,7,986
252,8,743
252,9,574
252,10,488
252,11,2834
280,1,20983
280,2,7695
280,3,4401
280,4,2832
280,5,1959
280,6,1528
280,7,1081
280,8,867
280,9,643
280,10,482
280,11,3040
308,1,22507
308,2,7946
308,3,4389
308,4,2785
308,5,1922
308,6,1480
308,7,1106
308,8,833
308,9,658
308,10,485
308,11,2878
336,1,21848
336,2,7572
336,3,4038
336,4,2551
336,5,1762
336,6,1242
336,7,1010
336,8,740
336,9,557
336,10,395
336,11,2495
364,1,20261
364,2,7049
364,3,3897
364,4,2415
364,5,1700
364,6,1259
364,7,946
364,8,690
364,9,581
364,10,412
364,11,2358
392,1,18454
392,2,6655
392,3,3683
392,4,2346
392,5,1556
392,6,1194
392,7,855
392,8,672
392,9,444
