recency_,frequency_,population
28,1,17795
28,2,7396
28,3,4706
28,4,3533
28,5,2697
28,6,2165
28,7,1789
28,8,1574
28,9,1353
28,10,1267
28,11,23702
56,1,17413
56,2,7045
56,3,4306
56,4,3062
56,5,2299
56,6,1840
56,7,1558
56,8,1288
56,9,1127
56,10,963
56,11,13181
84,1,17479
84,2,6992
84,3,4020
84,4,2893
84,5,2213
84,6,1716
84,7,1412
84,8,1143
84,9,981
84,10,862
84,11,10199
112,1,18947
112,2,7084
112,3,4121
112,4,2888
112,5,2136
112,6,1672
112,7,1404
112,8,1158
112,9,900
112,10,795
112,11,8961
140,1,18731
140,2,6816
140,3,3899
140,4,2724
140,5,1972
140,6,1525
140,7,1193
140,8,1025
140,9,866
140,10,715
140,11,7379
168,1,15652
168,2,5651
168,3,3278
168,4,2133
168,5,1646
168,6,1229
168,7,964
168,8,807
168,9,675
168,10,574
168,11,5773
196,1,13989
196,2,5210
196,3,3141
196,4,2113
196,5,1538
196,6,1213
196,7,961
196,8,742
196,9,678
196,10,560
196,11,6147
224,1,13854
224,2,5185
224,3,2926
224,4,2076
224,5,1496
224,6,1134
224,7,931
224,8,789
224,9,597
224,10,530
224,11,5221
252,1,11666
252,2,4218
252,3,2421
252,4,1675
252,5,1148
252,6,856
252,7,720
252,8,553
252,9,436
252,10,430
252,11,3800
280,1,12950
280,2,4655
280,3,2719
280,4,1780
280,5,1349
280,6,960
280,7,758
280,8,669
280,9,532
280,10,430
280,11,4264
308,1,13603
308,2,4799
308,3,2662
308,4,1886
308,5,1346
308,6,998
308,7,799
308,8,644
308,9,499
308,10,420
308,11,3964
336,1,13022
336,2,4549
336,3,2575
336,4,1667
336,5,1138
336,6,833
336,7,657
336,8,539
336,9,449
336,10,366
336,11,3273
364,1,12254
364,2,4309
364,3,2437
364,4,1497
364,5,1091
364,6,788
364,7,657
364,8,504
364,9,374
364,10,345
364,11,3018
392,1,11804
392,2,4245
392,3,2319
392,4,1410
392,5,1069
392,6,779
392,7,532
392,8,489
392,9,395
392,10,313
392,11,2714
420,1,12738
420,2,4381
420,3,2349
420,4,1552
420,5,1016
420,6,757
420,7,579
420,8,461
420,9,347
420,10,320
420,11,2683
448,1,12172
448,2,4181
448,3,2161
448,4,1402
448,5,1004
448,6,709
448,7,580
448,8,432
448,9,362
448,10,256
448,11,2492
476,1,11763
476,2,3909
476,3,2134
476,4,1276
476,5,941
476,6,696
476,7,552
476,8,403
476,9,329
476,10,294
476,11,2287
504,1,11979
504,2,4089
504,3,2254
504,4,1351
504,5,908
504,6,693
504,7,490
504,8,422
504,9,339
504,10,273
504,11,2189
532,1,13478
532,2,4416
532,3,2336
532,4,1482
532,5,992
532,6,757
532,7,567
532,8,451
532,9,337
532,10,293
532,11,2298
560,1,13608
560,2,4412
560,3,2308
560,4,1501
560,5,1018
560,6,700
560,7,542
560,8,402
560,9,350
560,10,257
560,11,2134
588,1,13154
588,2,4219
588,3,2233
588,4,1364
588,5,870
588,6,675
588,7,478
588,8,384
588,9,300
588,10,229
588,11,1995
616,1,10893
616,2,3547
616,3,1861
616,4,1092
616,5,770
616,6,514
616,7,440
616,8,285
616,9,232
616,10,210
616,11,1609
644,1,11800
644,2,3951
644,3,2074
644,4,1190
644,5,793
644,6,533
644,7,393
644,8,359
644,9,267
644,10,222
644,11,1686
672,1,11888
672,2,3907
672,3,1996
672,4,1151
672,5,801
672,6,567
672,7,398
672,8,338
672,9,268
672,10,201
672,11,1615
700,1,12613
700,2,3955
700,3,1919
700,4,1178
700,5,784
700,6,498
700,7,417
700,8,326
700,9,240
700,10,209
700,11,1642
728,1,12095
728,2,3942
728,3,1942
728,4,1210
728,5,786
728,6,559
728,7,442
728,8,319
728,9,256
728,10,183
728,11,1479
756,1,12191
756,2,3810
756,3,1917
756,4,1142
756,5,703
756,6,526
756,7,390
756,8,295
756,9,229
756,10,178
756,11,1425
784,1,12830
784,2,4031
784,3,1976
784,4,1107
784,5,711
784,6,517
784,7,379
784,8,293
784,9,234
784,10,206
784,11,1400
812,1,12312
812,2,3786
812,3,1770
812,4,1031
812,5,663
812,6,487
812,7,375
812,8,254
812,9,224
812,10,171
812,11,1286
840,1,12770
840,2,3788
840,3,1788
840,4,1066
840,5,688
840,6,487
840,7,361
840,8,237
