last_3_month_,this_month_,population
0,1,64172
0,2,10827
1,0,211502
1,1,14317
1,2,4252
2,0,41866
2,1,6248
2,2,2777
3,0,14984
3,1,3128
3,2,1936
4,0,6758
4,1,1915
4,2,1464
5,0,3546
5,1,1150
5,2,1017
6,0,2043
6,1,720
6,2,853
7,0,1255
7,1,461
7,2,633
8,0,847
8,1,333
8,2,525
9,0,566
9,1,250
9,2,375
10,0,413
10,1,153
10,2,305
11,0,318
11,1,126
11,2,287
12,0,202
12,1,92
12,2,211
13,0,150
13,1,71
13,2,162
14,0,121
14,1,63
14,2,170
15,0,82
15,1,44
15,2,135
16,0,80
16,1,41
16,2,113
17,0,65
17,1,37
17,2,106
18,0,52
18,1,19
18,2,93
19,0,42
19,1,11
19,2,77
20,0,208
20,1,93
20,2,669
