last_3_month_,this_month_,population
0,1,35402
0,2,8940
1,0,117974
1,1,6505
1,2,2452
2,0,24004
2,1,2720
2,2,1563
3,0,9200
3,1,1495
3,2,1085
4,0,4639
4,1,928
4,2,871
5,0,2859
5,1,630
5,2,678
6,0,1920
6,1,435
6,2,554
7,0,1353
7,1,346
7,2,448
8,0,931
8,1,275
8,2,411
9,0,686
9,1,179
9,2,368
10,0,549
10,1,167
10,2,277
11,0,470
11,1,155
11,2,275
12,0,348
12,1,114
12,2,254
13,0,311
13,1,71
13,2,220
14,0,280
14,1,70
14,2,194
15,0,245
15,1,73
15,2,173
16,0,207
16,1,51
16,2,149
17,0,148
17,1,47
17,2,136
18,0,143
18,1,40
18,2,157
19,0,145
19,1,26
19,2,137
20,0,1313
20,1,403
20,2,3019
