past_q_count_,q_count,q_with_fav_unique,q_with_fav_rate,fav_total,fav_per_q
1,2243553,1106244,0.49307682947539017,2653925,2.3990412603367792
2,1054194,493176,0.46782281060222314,1226439,2.4868180933378752
3,679440,319694,0.47052572706935125,801049,2.5056741759307339
4,490657,231735,0.47229531016575732,583018,2.5158823656331584
5,375499,177490,0.47267769022021361,453609,2.555687644374331
6,297765,140952,0.47336658102866352,360598,2.5583035359555026
7,241399,114879,0.4758884668122072,298955,2.6023468170858033
8,199369,95574,0.47938245163490811,250171,2.6175633540502647
9,168181,80694,0.47980449634619843,213642,2.6475574392148116
10,144090,69824,0.48458602262474842,186280,2.6678505957836847
11,125429,60601,0.4831498297841807,158082,2.608570815663108
12,110368,53141,0.48148919976804871,141019,2.6536760693250034
13,97844,47586,0.4863456113813826,127910,2.6879754549657462
14,87434,42498,0.48605805521879358,114425,2.6924796461009928
15,78642,38464,0.48910251519544262,103378,2.6876559900166388
16,70997,34834,0.4906404495964618,93206,2.6757191249928232
17,64576,31733,0.49140547571853321,84137,2.6514039013014843
18,58928,28792,0.48859625305457505,75655,2.6276396221172549
19,54048,26548,0.49119301361752515,71993,2.711805032394154
20,49787,24285,0.487777933998835,65827,2.710603253036854
21,46047,22804,0.49523313136577846,59611,2.6140589370285916
22,42612,21080,0.49469632967239274,57089,2.7082068311195444
23,39613,19596,0.49468608790043672,52313,2.6695754235558278
24,36889,18133,0.49155574832605925,47510,2.6200849280317651
25,34500,17000,0.49275362318840582,44877,2.6398235294117649
26,32308,15900,0.49213817011266558,43439,2.7320125786163523
27,30278,14984,0.49488077151727328,41290,2.7556059797116923
28,28471,14109,0.49555688244178286,37633,2.6673045573747252
29,26832,13306,0.49590041741204532,35422,2.6621073200060121
30,25361,12704,0.50092661961279128,33990,2.675535264483627
31,23966,11783,0.49165484436284734,30707,2.6060426037511668
32,22622,11082,0.4898771107771196,30117,2.7176502436383325
33,21474,10635,0.49525006985191394,27416,2.5779031499764926
34,20347,10151,0.49889418587506756,28356,2.793419367549995
35,19346,9572,0.49477928253902614,26463,2.7646259924780612
36,18410,9175,0.49837045084193371,24874,2.7110626702997274
37,17560,8807,0.50153758542141225,24082,2.7344158056091743
38,16773,8340,0.49722768735467715,22259,2.6689448441247
39,16051,7839,0.48838078624384773,20585,2.6259727005995663
40,15330,7768,0.50671885192433141,20874,2.687178166838311
41,14658,7274,0.49624778278073406,18770,2.5804234259004675
42,14006,6950,0.49621590746822791,18786,2.7030215827338129
43,13414,6708,0.500074548978679,18122,2.7015503875968991
44,12865,6384,0.49623008161678972,17443,2.7322994987468672
45,12335,6079,0.49282529387920554,16760,2.75703240664583
46,11832,5891,0.49788708586883029,15407,2.615345442199966
47,11330,5664,0.4999117387466902,15416,2.7217514124293785
48,10885,5350,0.491502067064768,14558,2.721121495327103
49,10498,5221,0.49733282530005718,14214,2.7224669603524227
50,10105,5049,0.4996536368134587,14153,2.8031293325410971
51,9739,4845,0.49748434130814251,12707,2.6227038183694531
52,9380,4696,0.500639658848614,13094,2.7883304940374787
53,9069,4462,0.4920057338185026,12000,2.6893769610040339
54,8754,4338,0.49554489376285127,11444,2.6380820654679575
55,8440,4201,0.49774881516587677,11779,2.8038562247084027
56,8172,4148,0.50758688203622127,11270,2.7169720347155257
57,7883,3903,0.49511607256120765,11073,2.8370484242890086
58,7597,3722,0.48993023561932342,9666,2.5969908651262763
59,7329,3664,0.4999317778687406,9672,2.6397379912663754
60,7103,3545,0.49908489370688441,9780,2.758815232722144
61,6887,3461,0.50254101931174677,9599,2.7734758740248484
62,6683,3389,0.50710758641328746,9668,2.8527589259368544
63,6490,3257,0.501848998459168,8952,2.7485416027018728
64,6326,3167,0.50063231109705975,8329,2.6299336911904012
65,6149,3078,0.5005691982436169,9261,3.0087719298245612
66,5969,3014,0.50494220137376444,7795,2.5862641008626408
67,5781,2927,0.50631378654212078,7904,2.7003758114110008
68,5618,2802,0.49875400498398004,7631,2.7234118486795147
69,5459,2737,0.50137387799963362,7283,2.6609426379247352
70,5294,2609,0.49282206271250473,7053,2.7033346109620546
71,5132,2552,0.49727201870615745,7242,2.8377742946708464
72,4996,2511,0.50260208166533227,6489,2.5842293906810037
73,4873,2449,0.50256515493535814,6076,2.481012658227848
74,4722,2361,0.5,6695,2.8356628547225751
75,4586,2302,0.50196249454862629,6436,2.7958297132927887
76,4478,2195,0.49017418490397496,6120,2.7881548974943051
77,4369,2133,0.488212405584802,6311,2.9587435536802627
78,4259,2128,0.49964780464897862,5709,2.6828007518796992
79,4130,1995,0.48305084745762711,5180,2.5964912280701755
80,4024,2014,0.50049701789264411,5393,2.6777557100297913
81,3913,1933,0.49399437771530796,5393,2.7899637868598033
82,3830,1841,0.48067885117493475,4926,2.6757197175448124
83,3751,1908,0.50866435617168759,5014,2.6278825995807127
84,3644,1800,0.49396267837541163,5062,2.8122222222222222
85,3539,1799,0.50833568804747109,4566,2.5380767092829348
86,3458,1677,0.48496240601503759,4361,2.6004770423375074
87,3390,1739,0.51297935103244841,4424,2.5439907993099484
88,3295,1628,0.494081942336874,4177,2.5657248157248156
89,3222,1612,0.500310366232154,4267,2.6470223325062037
90,3149,1619,0.5141314703080343,4140,2.5571340333539223
91,3096,1608,0.51937984496124034,4258,2.6480099502487562
92,3042,1522,0.50032873109796183,4471,2.9375821287779238
