past_a_count_,a_count,a_with_fav_unique,a_with_fav_rate,fav_total,fav_per_a
1,1411360,603035,0.42727227638589726,2223190,3.6866682696692563
2,699418,299051,0.4275712092053679,1041951,3.4841916596165872
3,484271,213303,0.44046205533678456,706865,3.3139008827817706
4,375255,168047,0.44782081517901162,544063,3.237564490886478
5,307261,138570,0.45098466775802981,435924,3.1458757306776359
6,260471,119815,0.45999362692967738,379030,3.1634603346826355
7,226286,105088,0.46440345403604288,320194,3.0469130633373935
8,199592,93639,0.46915207022325545,274438,2.930808744219823
9,178376,84788,0.47533300444005921,248666,2.9327970939283863
10,161091,77001,0.47799690857962268,227392,2.953104505136297
11,146607,70761,0.48265771757146658,203887,2.8813470697135428
12,134258,64955,0.48380729639946968,188715,2.9053190670464168
13,123877,60979,0.49225441365225181,170695,2.7992423621246658
14,114993,56693,0.4930126181593662,161148,2.842467324008255
15,107213,53190,0.49611520990924607,151161,2.8419063733784546
16,100225,50004,0.49891743576951858,137698,2.7537397008239339
17,94154,47532,0.5048325084436136,139148,2.9274593957754775
18,88692,44919,0.50646056014071172,130059,2.8954117411340414
19,83813,42644,0.50879935093601236,116504,2.7320138823750115
20,79340,40622,0.51199899168137131,111892,2.7544680222539513
21,75422,38814,0.51462438015433165,107778,2.7767815736589889
22,71734,37390,0.52123121532327765,105397,2.8188553089061248
23,68461,35817,0.52317377777128582,98805,2.7586062484295168
24,65372,34231,0.52363397173101633,92203,2.6935526277350941
25,62521,32718,0.52331216711185047,90001,2.75080995170854
26,59931,31496,0.52553770169027714,86305,2.7401892303784607
27,57553,30392,0.52806977916007858,81680,2.6875493550934455
28,55270,29346,0.53095711959471681,81272,2.7694404688884346
29,53092,28244,0.531982219543434,77908,2.7583911627248265
30,51189,27395,0.53517357244720543,74277,2.7113341850702684
31,49275,26363,0.53501775748351088,73106,2.7730531426620644
32,47569,25421,0.53440265719270952,66874,2.6306596908068132
33,45926,24832,0.5406959021033837,68294,2.7502416237113403
34,44407,24022,0.540950751007724,64520,2.6858712846557324
35,42985,23378,0.54386413865301853,64619,2.7640944477714089
36,41611,22668,0.54475979909158634,58896,2.598200105876125
37,40326,21962,0.54461141695184245,60565,2.7577178763318457
38,39135,21345,0.54541970103487925,57799,2.7078472710236587
39,38006,20942,0.55101826027469347,55769,2.663021678922739
40,36948,20236,0.54768864349897151,52788,2.6086183040126509
41,35863,19713,0.54967515266430578,52850,2.680971947445848
42,34869,19208,0.55086179701167226,49543,2.5792898792169927
43,33915,18828,0.55515258735072981,49989,2.6550350541746335
44,33072,18428,0.55720851475568456,49274,2.6738658563056217
45,32256,18009,0.5583147321428571,47223,2.6221889055472265
46,31405,17540,0.558509791434485,46375,2.643956670467503
47,30602,17140,0.56009411149598065,47682,2.7819136522753793
48,29922,16966,0.56700755297105809,43855,2.5848756336201815
49,29206,16433,0.56265835787167018,43960,2.6751049717032798
50,28529,15989,0.56044726418731816,41130,2.5723935205453747
51,27874,15625,0.5605582263040827,40090,2.56576
52,27203,15379,0.56534205786126535,38884,2.5283828597438065
53,26622,15090,0.566824430921794,39633,2.6264413518886678
