fav_count,q_total,q_next_in28days_count,q_next_after29days_count,q_no_repeat_count,q_retention_28days,q_retention_after29days,no_repeat_rate
0,8604570,4261513,2380760,1962297,0.49526158773767892,0.27668552873647378,0.22805288352584732
1,4809505,2431078,1397078,981349,0.5054736402186919,0.29048270040264018,0.20404365937866786
2,2271009,1174579,690526,405904,0.51720578826415919,0.30406132252227974,0.178732889213561
3,1146770,603116,360679,182975,0.52592586133226371,0.3145172964064285,0.15955684226130784
4,641632,341655,206350,93627,0.53247811829833924,0.3216017904343923,0.14592009126726846
5,394295,212419,128244,53632,0.53873115307067043,0.32524886189274527,0.13601998503658427
6,264500,144072,86058,34370,0.544695652173913,0.32536105860113423,0.12994328922495274
7,188323,103671,61405,23247,0.55049569091401473,0.32606213792261168,0.12344217116337357
8,140498,77865,45737,16896,0.55420717732636759,0.3255348830588336,0.12025793961479879
9,108337,60505,35332,12500,0.55848878961019777,0.3261305001984548,0.11538071019134737
10,85012,47786,27928,9298,0.56210887874652993,0.32851832682444831,0.10937279442902179
11,69589,39386,22667,7536,0.56598025550015085,0.32572676716147669,0.10829297733837244
12,56953,32212,18606,6135,0.56558917001738274,0.326690428950187,0.10772040103243025
13,48022,27662,15347,5013,0.57602765399192035,0.31958269126650285,0.10438965474157677
14,41021,23696,13144,4181,0.577655347261159,0.32042124765364083,0.10192340508520026
15,35278,20330,11392,3556,0.57627983445773567,0.32292080049889449,0.10079936504336981
16,30641,17911,9676,3054,0.5845435853921217,0.31578603831467639,0.099670376293201912
17,27020,15851,8479,2690,0.586639526276832,0.31380458919319021,0.0995558845299778
18,23924,14068,7569,2287,0.5880287577328206,0.31637686005684668,0.095594382210332715
19,21295,12495,6689,2111,0.58675745480159658,0.31411129373092272,0.099131251467480627
20,18798,11173,5895,1730,0.59437174167464624,0.31359719119055218,0.092031067134801581
21,17267,10299,5424,1544,0.59645566687901774,0.31412520993803206,0.08941912318295013
22,15400,9260,4783,1357,0.60129870129870133,0.31058441558441557,0.088116883116883121
23,14048,8353,4388,1307,0.59460421412300679,0.31235763097949887,0.0930381548974943
24,12657,7642,3846,1169,0.60377656632693366,0.30386347475705144,0.092359958916014853
25,11613,7058,3558,997,0.6077671574959097,0.30638078016016534,0.085852062343924909
26,10795,6587,3253,955,0.61018990273274665,0.30134321445113477,0.088466882816118572
27,9869,6043,2985,841,0.612321410477252,0.30246225554767453,0.085216333975073458
