q_first_a_diff,q_total,q_next_in28days_count,q_next_after29days_count,q_no_repeat_count,q_retention_28days,q_retention_after29days,no_repeat_rate
-1,2555306,1012946,766115,776245,0.39640888410233449,0.299813407865829,0.30377770803183651
0,9890743,5687145,2610783,1592815,0.57499674190300976,0.26396227260176508,0.16104098549522519
1,1305775,672343,385952,247480,0.51489958070877451,0.29557312707013078,0.18952729222109474
2,632410,316981,190979,124450,0.50122705207065033,0.30198605335146506,0.19678689457788459
3,397811,195450,122545,79816,0.49131371430151505,0.30804829429050479,0.20063799140798017
4,279427,135722,86355,57350,0.48571541046498728,0.30904314901566421,0.20524144051934853
5,211916,101878,65871,44167,0.48074708846901604,0.31083542535721703,0.20841748617376696
6,167533,80328,52325,34880,0.47947568538735652,0.31232652671413991,0.20819778789850357
7,137301,65099,43260,28942,0.47413347317208177,0.31507418008608823,0.21079234674183
8,119789,56632,37762,25395,0.47276461110786466,0.31523762615933015,0.21199776273280518
9,105679,49582,33530,22567,0.46917552209994418,0.31728157912167981,0.21354289877837604
10,95352,44326,30387,20639,0.46486701904522193,0.31868235590234079,0.21645062505243728
11,87091,40497,27760,18834,0.46499638309354585,0.31874705767530515,0.21625655923114903
12,79804,36937,25481,17386,0.46284647386095934,0.31929477219187008,0.21785875394717058
13,73512,33725,23768,16019,0.45876863641310262,0.32332136249863969,0.2179100010882577
14,70557,32267,22701,15589,0.45731819663534445,0.32173986989242742,0.22094193347222812
15,70480,32148,22935,15397,0.45612939841089672,0.32541146424517592,0.21845913734392736
16,72052,32366,23915,15771,0.44920335313384779,0.33191306278798643,0.21888358407816577
17,71123,31928,23727,15468,0.44891244745019193,0.33360516288682984,0.21748238966297823
18,69146,31102,22900,15144,0.44980186851010906,0.33118329332137797,0.219014838168513
19,65461,29006,22082,14373,0.44310352729105879,0.33733062434121081,0.21956584836773041
20,62494,27557,20907,14030,0.44095433161583514,0.33454411623515856,0.2245015521490063
21,61259,27231,20624,13404,0.44452243751938492,0.33666889763136842,0.21880866484924663
22,59716,26335,20112,13269,0.44100408600710028,0.33679415901935827,0.22220175497354144
23,57900,25330,19503,13067,0.43747841105354057,0.336839378238342,0.22568221070811745
24,50871,22168,17195,11508,0.43576890566334453,0.33801183385425881,0.22621926048239666
